IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.90.21.1,443,443,true,FRA,Europe,Frankfurt,279,2.55
34.65.150.145,443,443,true,FRA,Europe,Frankfurt,261,2.55
34.154.78.70,443,443,true,FRA,Europe,Frankfurt,271,2.47
34.175.95.58,2053,80,false,MAD,Europe,Madrid,198,2.47
34.175.95.58,2087,80,false,MAD,Europe,Madrid,188,2.46
34.154.141.194,443,443,true,FRA,Europe,Frankfurt,261,2.46
34.154.244.172,443,443,true,FRA,Europe,Frankfurt,257,2.43
34.154.158.242,443,443,true,FRA,Europe,Frankfurt,271,2.42
34.154.161.251,443,443,true,FRA,Europe,Frankfurt,272,2.40
34.154.245.19,443,443,true,FRA,Europe,Frankfurt,264,2.33
34.154.8.144,443,443,true,FRA,Europe,Frankfurt,270,2.32
34.175.133.251,2096,80,false,MAD,Europe,Madrid,197,2.30
34.175.99.73,2095,80,false,MAD,Europe,Madrid,200,2.30
34.175.133.251,2086,80,false,MAD,Europe,Madrid,189,2.30
34.175.99.73,2082,80,false,LIS,Europe,Lisbon,202,2.29
34.147.53.185,443,443,true,FRA,Europe,Frankfurt,325,2.28
34.116.251.75,443,443,true,FRA,Europe,Frankfurt,279,2.28
34.154.159.114,443,443,true,FRA,Europe,Frankfurt,267,2.27
34.175.133.251,2095,80,false,MAD,Europe,Madrid,196,2.27
34.175.244.157,2086,80,false,MAD,Europe,Madrid,189,2.26
34.175.133.251,2087,80,false,MAD,Europe,Madrid,196,2.25
34.91.119.173,443,443,true,FRA,Europe,Frankfurt,277,2.25
34.175.133.251,2083,80,false,MAD,Europe,Madrid,196,2.25
34.175.95.58,2052,80,false,MAD,Europe,Madrid,189,2.25
34.175.7.231,2053,80,false,MAD,Europe,Madrid,196,2.24
34.175.161.245,2052,80,false,MAD,Europe,Madrid,189,2.24
34.175.95.58,2096,80,false,MAD,Europe,Madrid,196,2.24
34.91.166.255,443,443,true,FRA,Europe,Frankfurt,274,2.23
34.175.133.251,2053,80,false,MAD,Europe,Madrid,188,2.22
34.175.133.251,2082,80,false,MAD,Europe,Madrid,188,2.22
34.175.244.157,2087,80,false,MAD,Europe,Madrid,198,2.22
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,209,2.21
34.175.7.231,2082,80,false,MAD,Europe,Madrid,197,2.21
34.91.215.242,443,443,true,FRA,Europe,Frankfurt,265,2.21
34.154.47.113,443,443,true,FRA,Europe,Frankfurt,273,2.20
34.175.244.157,2082,80,false,MAD,Europe,Madrid,189,2.20
34.107.89.72,443,443,true,FRA,Europe,Frankfurt,649,2.19
34.175.133.251,2052,80,false,MAD,Europe,Madrid,197,2.18
34.175.99.73,2096,80,false,LIS,Europe,Lisbon,189,2.18
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,215,2.17
34.90.21.1,443,443,true,FRA,Europe,Frankfurt,256,2.17
34.116.206.219,443,443,true,FRA,Europe,Frankfurt,283,2.14
34.154.180.110,443,443,true,FRA,Europe,Frankfurt,266,2.14
34.118.69.246,443,443,true,FRA,Europe,Frankfurt,374,2.14
34.118.124.84,443,443,true,FRA,Europe,Frankfurt,392,2.14
34.175.99.73,2086,80,false,MAD,Europe,Madrid,194,2.13
34.175.244.157,2095,80,false,MAD,Europe,Madrid,197,2.12
34.175.95.58,2082,80,false,MAD,Europe,Madrid,191,2.12
35.229.161.32,443,443,true,TPE,Asia Pacific,Taipei,47,2.12
34.175.7.231,2087,80,false,MAD,Europe,Madrid,189,2.12
34.175.161.245,2087,80,false,LIS,Europe,Lisbon,187,2.11
34.175.168.99,2082,80,false,MAD,Europe,Madrid,191,2.11
34.175.95.58,2095,80,false,MAD,Europe,Madrid,188,2.11
34.175.161.245,2095,80,false,MAD,Europe,Madrid,190,2.10
34.175.244.157,2052,80,false,MAD,Europe,Madrid,189,2.10
34.175.143.15,2095,80,false,MAD,Europe,Madrid,190,2.08
34.175.244.157,2083,80,false,MAD,Europe,Madrid,197,2.08
34.154.250.98,443,443,true,FRA,Europe,Frankfurt,257,2.07
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,204,2.07
34.175.168.99,2083,80,false,MAD,Europe,Madrid,189,2.06
34.175.168.99,2087,80,false,MAD,Europe,Madrid,190,2.06
34.154.217.137,443,443,true,FRA,Europe,Frankfurt,255,2.05
35.187.41.171,2087,80,false,CDG,Europe,Paris,211,2.05
34.65.78.221,443,443,true,FRA,Europe,Frankfurt,271,2.05
34.175.161.245,2082,80,false,MAD,Europe,Madrid,201,2.04
34.147.101.117,2087,80,false,AMS,Europe,Amsterdam,205,2.04
34.175.95.58,2086,80,false,MAD,Europe,Madrid,196,2.04
34.175.99.73,2052,80,false,MAD,Europe,Madrid,193,2.03
34.175.161.245,2096,80,false,MAD,Europe,Madrid,196,2.03
34.175.161.245,2053,80,false,MAD,Europe,Madrid,190,2.03
34.175.161.245,2083,80,false,MAD,Europe,Madrid,196,2.03
34.154.71.139,443,443,true,FRA,Europe,Frankfurt,253,2.02
34.118.69.177,443,443,true,FRA,Europe,Frankfurt,268,2.01
34.175.161.245,2086,80,false,MAD,Europe,Madrid,189,2.00
34.107.5.109,443,443,true,FRA,Europe,Frankfurt,301,2.00
34.175.7.231,2052,80,false,MAD,Europe,Madrid,189,1.99
34.175.244.157,2096,80,false,MAD,Europe,Madrid,190,1.99
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,206,1.98
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,204,1.97
34.154.240.106,443,443,true,FRA,Europe,Frankfurt,264,1.95
34.147.101.117,2052,80,false,AMS,Europe,Amsterdam,199,1.94
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,206,1.91
35.187.41.171,2083,80,false,CDG,Europe,Paris,195,1.90
34.154.111.31,443,443,true,FRA,Europe,Frankfurt,263,1.87
34.118.57.241,443,443,true,FRA,Europe,Frankfurt,279,1.79
34.154.9.153,443,443,true,FRA,Europe,Frankfurt,310,1.79
34.154.99.104,443,443,true,FRA,Europe,Frankfurt,309,1.76
